holiday,ds,lower_window,upper_window
dia padre,2015-03-12,0,0
dia padre,2015-03-13,0,0
dia padre,2015-03-14,0,0
dia padre,2015-03-15,0,0
dia padre,2015-03-16,0,0
dia padre,2015-03-17,0,0
dia padre,2015-03-18,0,0
dia padre,2015-03-19,0,0
dia madre,2015-04-28,0,0
dia madre,2015-04-29,0,0
dia madre,2015-04-30,0,0
dia madre,2015-05-01,0,0
dia madre,2015-05-02,0,0
dia madre,2015-05-03,0,0
dia madre,2015-05-04,0,0
dia madre,2015-05-05,0,0
dia padre,2016-03-12,0,0
dia padre,2016-03-13,0,0
dia padre,2016-03-14,0,0
dia padre,2016-03-15,0,0
dia padre,2016-03-16,0,0
dia padre,2016-03-17,0,0
dia padre,2016-03-18,0,0
dia padre,2016-03-19,0,0
8 dias oro,2016-03-30,0,0
8 dias oro,2016-03-31,0,0
8 dias oro,2016-04-01,0,0
8 dias oro,2016-04-02,0,0
8 dias oro,2016-04-03,0,0
8 dias oro,2016-04-04,0,0
8 dias oro,2016-04-05,0,0
8 dias oro,2016-04-06,0,0
8 dias oro,2016-04-07,0,0
8 dias oro,2016-04-08,0,0
8 dias oro,2016-04-09,0,0
8 dias oro,2016-04-10,0,0
8 dias oro,2016-04-11,0,0
8 dias oro,2016-04-12,0,0
8 dias oro,2016-04-13,0,0
8 dias oro,2016-04-14,0,0
8 dias oro,2016-04-15,0,0
8 dias oro,2016-04-16,0,0
8 dias oro,2016-04-17,0,0
8 dias oro,2016-04-18,0,0
8 dias oro,2016-04-19,0,0
8 dias oro,2016-04-20,0,0
8 dias oro,2016-04-21,0,0
8 dias oro,2016-04-22,0,0
8 dias oro,2016-04-23,0,0
8 dias oro,2016-04-24,0,0
dia madre,2016-04-28,0,0
dia madre,2016-04-29,0,0
dia madre,2016-04-30,0,0
dia madre,2016-05-01,0,0
dia madre,2016-05-02,0,0
dia madre,2016-05-03,0,0
dia madre,2016-05-04,0,0
dia madre,2016-05-05,0,0
vuelta cole - madrid,2016-08-03,0,0
vuelta cole - madrid,2016-08-04,0,0
vuelta cole - madrid,2016-08-05,0,0
vuelta cole - madrid,2016-08-06,0,0
vuelta cole - madrid,2016-08-07,0,0
vuelta cole - madrid,2016-08-08,0,0
vuelta cole - madrid,2016-08-09,0,0
vuelta cole - madrid,2016-08-10,0,0
vuelta cole - madrid,2016-08-11,0,0
vuelta cole - madrid,2016-08-12,0,0
vuelta cole - madrid,2016-08-13,0,0
vuelta cole - madrid,2016-08-14,0,0
vuelta cole - madrid,2016-08-15,0,0
dia padre,2017-03-12,0,0
dia padre,2017-03-13,0,0
dia padre,2017-03-14,0,0
dia padre,2017-03-15,0,0
primavera digital,2017-03-16,0,0
dia padre,2017-03-16,0,0
dia padre,2017-03-17,0,0
primavera digital,2017-03-17,0,0
primavera digital,2017-03-18,0,0
dia padre,2017-03-18,0,0
primavera digital,2017-03-19,0,0
dia padre,2017-03-19,0,0
primavera digital,2017-03-20,0,0
primavera digital,2017-03-21,0,0
primavera digital,2017-03-22,0,0
primavera digital,2017-03-23,0,0
primavera digital,2017-03-24,0,0
dia madre,2017-04-28,0,0
dia madre,2017-04-29,0,0
dia madre,2017-04-30,0,0
dia madre,2017-05-01,0,0
dia madre,2017-05-02,0,0
dia madre,2017-05-03,0,0
dia madre,2017-05-04,0,0
dia madre,2017-05-05,0,0
vuelta cole - madrid,2017-07-03,0,0
vuelta cole - madrid,2017-07-04,0,0
vuelta cole - madrid,2017-07-05,0,0
vuelta cole - madrid,2017-07-06,0,0
vuelta cole - madrid,2017-07-07,0,0
vuelta cole - madrid,2017-07-08,0,0
vuelta cole - madrid,2017-07-09,0,0
vuelta cole - madrid,2017-07-10,0,0
vuelta cole - madrid,2017-07-11,0,0
vuelta cole - madrid,2017-07-12,0,0
vuelta cole - madrid,2017-07-13,0,0
vuelta cole - madrid,2017-07-14,0,0
vuelta cole - madrid,2017-07-15,0,0
8 dias oro,2017-10-27,0,0
8 dias oro,2017-10-28,0,0
8 dias oro,2017-10-29,0,0
8 dias oro,2017-10-30,0,0
8 dias oro,2017-10-31,0,0
8 dias oro,2017-11-01,0,0
8 dias oro,2017-11-02,0,0
8 dias oro,2017-11-03,0,0
8 dias oro,2017-11-04,0,0
8 dias oro,2017-11-05,0,0
8 dias oro,2017-11-06,0,0
8 dias oro,2017-11-07,0,0
8 dias oro,2017-11-08,0,0
8 dias oro,2017-11-09,0,0
8 dias oro,2017-11-10,0,0
8 dias oro,2017-11-11,0,0
8 dias oro,2017-11-12,0,0
dia padre,2018-03-12,0,0
dia padre,2018-03-13,0,0
dia padre,2018-03-14,0,0
dia padre,2018-03-15,0,0
primavera digital,2018-03-16,0,0
dia padre,2018-03-16,0,0
primavera digital,2018-03-17,0,0
dia padre,2018-03-17,0,0
primavera digital,2018-03-18,0,0
dia padre,2018-03-18,0,0
dia padre,2018-03-19,0,0
primavera digital,2018-03-19,0,0
primavera digital,2018-03-20,0,0
primavera digital,2018-03-21,0,0
primavera digital,2018-03-22,0,0
primavera digital,2018-03-23,0,0
primavera digital,2018-03-24,0,0
dia madre,2018-04-28,0,0
dia madre,2018-04-29,0,0
dia madre,2018-04-30,0,0
dia madre,2018-05-01,0,0
dia madre,2018-05-02,0,0
dia madre,2018-05-03,0,0
dia madre,2018-05-04,0,0
dia madre,2018-05-05,0,0
vuelta cole - madrid,2018-06-03,0,0
vuelta cole - madrid,2018-06-04,0,0
vuelta cole - madrid,2018-06-05,0,0
vuelta cole - madrid,2018-06-06,0,0
vuelta cole - madrid,2018-06-07,0,0
vuelta cole - madrid,2018-06-08,0,0
vuelta cole - madrid,2018-06-09,0,0
vuelta cole - madrid,2018-06-10,0,0
vuelta cole - madrid,2018-06-11,0,0
vuelta cole - madrid,2018-06-12,0,0
vuelta cole - madrid,2018-06-13,0,0
vuelta cole - madrid,2018-06-14,0,0
vuelta cole - madrid,2018-06-15,0,0
8 dias oro,2018-10-24,0,0
8 dias oro,2018-10-25,0,0
8 dias oro,2018-10-26,0,0
8 dias oro,2018-10-27,0,0
8 dias oro,2018-10-28,0,0
8 dias oro,2018-10-29,0,0
8 dias oro,2018-10-30,0,0
8 dias oro,2018-10-31,0,0
8 dias oro,2018-11-01,0,0
8 dias oro,2018-11-02,0,0
8 dias oro,2018-11-03,0,0
8 dias oro,2018-11-04,0,0
8 dias oro,2018-11-05,0,0
8 dias oro,2018-11-06,0,0
8 dias oro,2018-11-07,0,0
8 dias oro,2018-11-08,0,0
8 dias oro,2018-11-09,0,0
8 dias oro,2018-11-10,0,0
dia padre,2019-03-12,0,0
dia padre,2019-03-13,0,0
dia padre,2019-03-14,0,0
dia padre,2019-03-15,0,0
dia padre,2019-03-16,0,0
primavera digital,2019-03-16,0,0
primavera digital,2019-03-17,0,0
dia padre,2019-03-17,0,0
dia padre,2019-03-18,0,0
primavera digital,2019-03-18,0,0
primavera digital,2019-03-19,0,0
dia padre,2019-03-19,0,0
primavera digital,2019-03-20,0,0
primavera digital,2019-03-21,0,0
primavera digital,2019-03-22,0,0
primavera digital,2019-03-23,0,0
primavera digital,2019-03-24,0,0
primavera digital,2019-03-25,0,0
primavera digital,2019-03-26,0,0
primavera digital,2019-03-27,0,0
primavera digital,2019-03-28,0,0
primavera digital,2019-03-29,0,0
primavera digital,2019-03-30,0,0
primavera digital,2019-03-31,0,0
primavera digital,2019-04-01,0,0
dia madre,2019-04-28,0,0
dia madre,2019-04-29,0,0
dia madre,2019-04-30,0,0
dia madre,2019-05-01,0,0
dia madre,2019-05-02,0,0
dia madre,2019-05-03,0,0
dia madre,2019-05-04,0,0
dia madre,2019-05-05,0,0
semana internet,2019-10-05,0,0
semana internet,2019-10-06,0,0
semana internet,2019-10-07,0,0
semana internet,2019-10-08,0,0
semana internet,2019-10-09,0,0
semana internet,2019-10-10,0,0
semana internet,2019-10-11,0,0
semana internet,2019-10-12,0,0
noche buena,2015-12-24,-2,0
noche buena,2016-12-24,-2,0
noche buena,2017-12-24,-2,0
noche buena,2018-12-24,-2,0
noche buena,2019-12-24,-2,0
noche vieja,2015-12-31,-2,0
noche vieja,2016-12-31,-2,0
